title,image,description
« Vous ne voulez quand même pas qu’on aille à l’hôtel ? »,https://img.lemde.fr/2019/12/10/0/0/1999/1333/110/74/60/0/bdbd030_wKnQ6n8L39D3ebmlKpMltjp7.png,"Retrouvez le témoignage de Christian, 70 ans, interprété par Jonathan Zaccaï. Un podcast issu de notre série « S’aimer comme on se quitte »."
"Lomepal : « La folie de ma grand-mère, Jeannine, me fascinait »",https://img.lemde.fr/2018/02/15/203/0/3248/2157/110/74/60/0/b536b26_3096-a7j6tp.j232.jpg,"Qu’est-ce qu’avoir du goût ? Qui a bon ou mauvais goût ? Comment se forme-t-il ? Est-il le produit d’une éducation, d’un milieu social ou au contraire le fruit d’une construction personnelle ? Cette semaine, le chanteur français répond aux questions de Géraldine Sarratia."
Sarah : « J’ai tout raconté à mon mari »,https://img.lemde.fr/2019/11/28/0/0/1999/1333/110/74/60/0/81eb1af_MUF5uP6RA8_4TId-awNNCApJ.png,"« S’aimer comme on se quitte » existe désormais en podcast. Pour ce premier épisode, retrouvez le témoignage de Sarah, 32 ans, interprété par Clotilde Hesme sur une bande-son de David Sztanke, avec la voix d’Alex Beaupain."
"Ariane Ascaride : « Ma victoire, ce n’est pas d’être au goût de l’époque, c’est d’être incontournable avec ce que je suis »",https://img.lemde.fr/2019/11/22/0/0/4840/3226/110/74/60/0/0b1e221_CXONxTExGCJczxMi9ywDadGe.jpg,Qu’est-ce qu’avoir du goût ? Comment se forme-t-il ? L’actrice française est la cinquième invitée du podcast Le Goût de M.
"Alain Passard : « Le drame, c’est lorsque vous croisez dans la casserole l’hiver avec l’été »",https://img.lemde.fr/2015/08/07/271/0/6496/4330/110/74/60/0/22c32b2_22278-lvaojd.jpg,"Qu’est-ce qu’avoir du goût ? Qui a bon ou mauvais goût ? Comment se forme-t-il ? Est-il le produit d’une éducation, d’un milieu social ou au contraire le fruit d’une construction personnelle ? Cette semaine, le chef français répond aux questions de Géraldine Sarratia."
"Pierre Hardy : « Aujourd’hui, on n’est plus obligé de s’habiller en sportif ou en banquier pour être un garçon »",https://img.lemde.fr/2019/10/25/0/13/4518/3012/110/74/60/0/4e0ddce_dCY2IuQow5JDiOC_gtNMpI8R.jpg,Qu’est-ce qu’avoir du goût ? Qui a bon ou mauvais goût ? Comment se forme-t-il ? Le chausseur est l’invité du podcast Le Goût de M
"Alex Beaupain : « Le complexe du provincial, il reste à vie »",https://img.lemde.fr/2019/09/26/0/0/1771/1181/110/74/60/0/6614f82_5kybQ0y-Lw4cAChipCPnHz6Z.jpg,"Qu’est-ce qu’avoir du goût ? Qui a bon ou mauvais goût ? Comment se forme-t-il ? Est-il le produit d’une éducation, d’un milieu social ou au contraire le fruit d’une construction personnelle ? Cette semaine, l’auteur-compositeur-interprète répond aux questions de Géraldine Sarratia."
Paroles d’aidants : « J’ose dire que je ne l’ai jamais tant aimée »,https://img.lemde.fr/2019/10/04/0/0/2101/1401/110/74/60/0/0f519e4_kPzfgvxC8E40YsI3Tf2Ea4KP.png,"François est installé depuis 50 ans dans le Val-d’Oise avec sa femme Michèle. En 2016, le diagnostic tombe : Michèle est atteinte de la maladie d’Alzheimer. Aujourd’hui François doit s’occuper d’elle comme d’un enfant : la lever, la nourrir à la cuillère, la promener. Mais il peut compter sur l’aide précieuse de sa famille et de ses amis."
Paroles d’aidants : « Je m’occupe de lui comme on s’occupe d’un bébé »,https://img.lemde.fr/2019/10/04/0/0/2101/1401/110/74/60/0/0f519e4_kPzfgvxC8E40YsI3Tf2Ea4KP.png,"Podcast. En 2018, Carol apprend par un coup de fil que son père, Bernard, a été victime d’un AVC. Incapable de se déplacer tout seul, il est placé en Ehpad. Depuis, Carol gère ses finances et assure son bien-être quotidien tout en menant de front sa carrière de cheffe d’entreprise et sa vie de mère de famille."
Marina Foïs : « Mon père avait horreur des tables basses »,https://img.lemde.fr/2018/12/31/200/0/3780/2506/110/74/60/0/ce68e29_WjBgzTQowesCz6RY9WFVQJCk.jpg,"Qu’est-ce qu’avoir du goût ? Qui a bon ou mauvais goût ? Comment se forme-t-il ? Est-il le produit d’une éducation, d’un milieu social ou au contraire le fruit d’une construction personnelle ? Tous les quinze jours, une personnalité répond."
